id,url
kelloggs-froot_loops,https://www.walmart.com/ip/Kellogg-s-Froot-Loops-Cereal-10-1oz/328422754
post-sour_patch_kids,https://www.walmart.com/ip/Post-Sour-Patch-Kids-Breakfast-Cereal-Sour-Then-Sweet-18oz/352239677
general_mills-cookie_crisp,https://www.walmart.com/ip/Cookie-Crisp-Cereal-Chocolate-Chip-Cookie-Flavored-19-1-oz/193354334
general_mills-cocoa_puffs,https://www.walmart.com/ip/Cocoa-Puffs-Chocolate-Cereal-19-3-oz/912277261
kelloggs-pop_tarts_cereal,https://www.walmart.com/ip/Kellogg-s-Pop-Tarts-Frosted-Strawberry-Breakfast-Cereal-17-oz/759353321
kelloggs-krave_chocolate,https://www.walmart.com/ip/Kellogg-s-Krave-Chocolate-Family-Size-Breakfast-Cereal-17-3-oz/390772899
post-fruity_pebbles,https://www.walmart.com/ip/Post-Fruity-Pebbles-Cereal-20-5-oz-Box/20648084
kelloggs-froot_loops_marshmallows,https://www.walmart.com/ip/Kellogg-s-Froot-Loops-w-Marshmallows-Breakfast-Cereal-18-7-oz/623776530
post-cocoa_pebbles,https://www.walmart.com/ip/Post-Cocoa-Pebbles-Cereal-20-5-oz-Box/20648085
post-oreo_os,https://www.walmart.com/ip/Post-Oreo-O-s-Cereal-17-oz-Box/793989510
kelloggs-frosted_mini_wheats_original,https://www.walmart.com/ip/Kellogg-s-Frosted-Mini-Wheats-Bite-Size-Breakfast-Cereal-18-oz/224563362
kelloggs-rice_krispies,https://www.walmart.com/ip/Kellogg-s-Rice-Krispies-Breakfast-Cereal-Fat-Free-Family-Size-24-oz/10818684
general_mills-golden_grahams,https://www.walmart.com/ip/Golden-Grahams-Cereal-with-Whole-Grain-19-6-oz/593200528?selected=true
kelloggs-cocoa_krispies,None
quaker-life_original_multigrain_cereal,None
quaker-life_cinnamon_multigrain_cereal,None
kelloggs-chocolate_frosted_flakes,https://www.walmart.com/ip/Kellogg-s-Chocolate-Frosted-Flakes-Breakfast-Cereal-24-7-oz/799735281
general_mills-french_toast_crunch_syrup_cinnamon,https://www.walmart.com/ip/French-Toast-Crunch-Cereal-18-1-oz/768224598
general_mills-chocolate_toast_crunch,https://www.walmart.com/ip/Chocolate-Cinnamon-Toast-Crunch-Cereal-20-4-oz/822665667
general_mills-chocolate_lucky_charms,https://www.walmart.com/ip/Chocolate-Lucky-Charms-Marshmallow-Cereal-19-5-oz/727290147
general_mills-corn_chex,https://www.walmart.com/ip/Corn-Chex-Cereal-Gluten-Free-18-oz/36915387
general_mills-rice_chex,https://www.walmart.com/ip/Rice-Chex-Cereal-Gluten-Free-18-oz/36915386?athcpid=36915386&athpgid=athenaItemPage&athcgid=null&athznid=PWVUB&athieid=v0&athstid=CS020&athguid=a37e6559-15e-16d5c0a742cf6f&athancid=null&athena=true
general_mills-very_berry_cheerios,https://www.walmart.com/ip/Very-Berry-Cheerios-Cereal-Gluten-Free-19-5-oz/838131724
general_mills-chocolate_cheerios,https://www.walmart.com/ip/Chocolate-Cheerios-Cereal-Gluten-Free-20-3-oz/784376727
general_mills-chocolate_peanut_butter_cheerios,https://www.walmart.com/ip/Chocolate-Peanut-Butter-Cheerios-Cereal-20-3-oz/243516817
general_mills-blueberry_cheerios,https://www.walmart.com/ip/Blueberry-Cheerios-Gluten-Free-Cereal-19-5-oz/117704362?athcpid=117704362&athpgid=athenaItemPage&athcgid=null&athznid=PWVUB&athieid=v0&athstid=CS020&athguid=fbaf2fd2-5aa-16d5c0d72d80a9&athancid=null&athena=true
general_mills-drumstick_classic_vanilla,https://www.walmart.com/ip/Drumstick-Classic-Vanilla-Breakfast-Cereal-17-5-oz/587596573?athcpid=587596573&athpgid=athenaItemPage&athcgid=null&athznid=PWVUB&athieid=v0&athstid=CS020&athguid=fbbace14-6f2-16d5c0dd854683&athancid=null&athena=true
